id,name,category,portion,carbs,proteins,fats,cals
0,"Hummus, commercial",Legumes and Legume Products,tablespoon,14.9,7.35,17.1,229.0
1,"Tomatoes, grape, raw",Vegetables and Vegetable Products,tomatoes,5.51,0.83,0.63,113.0
2,"Beans, snap, green, canned, regular pack, drained solids",Vegetables and Vegetable Products,cup,4.11,1.04,0.39,86.0
3,"Frankfurter, beef, unheated",Sausages and Luncheon Meats,piece,2.89,11.7,28.0,1310.0
4,"Nuts, almonds, dry roasted, with salt added",Nut and Seed Products,cup,16.2,20.4,57.8,2590.0
5,"Kale, raw",Vegetables and Vegetable Products,cup,4.42,2.92,1.49,35.0
6,"Egg, whole, raw, frozen, pasteurized",Dairy and Egg Products,oz,0.91,12.3,10.3,150.0
7,"Egg, white, raw, frozen, pasteurized",Dairy and Egg Products,oz,0.74,10.1,0.16,201.0
8,"Egg, white, dried",Dairy and Egg Products,tablespoon,6.02,79.9,0.65,376.0
9,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",Vegetables and Vegetable Products,piece,36.3,4.52,14.4,1210.0
10,"Pickles, cucumber, dill or kosher dill",Vegetables and Vegetable Products,spear,1.99,0.48,0.43,12.0
11,"Cheese, parmesan, grated",Dairy and Egg Products,tablespoon,12.4,29.6,28.0,1760.0
12,"Cheese, pasteurized process, American, vitamin D fortified",Dairy and Egg Products,slice,5.27,18.0,30.6,366.0
13,"Grapefruit juice, white, canned or bottled, unsweetened",Fruits and Fruit Juices,cup,7.59,0.55,0.7,37.0
14,"Peaches, yellow, raw",Fruits and Fruit Juices,fruit,10.1,0.91,0.27,174.0
15,"Seeds, sunflower seed kernels, dry roasted, with salt added",Nut and Seed Products,cup,17.1,21.0,56.1,2560.0
16,"Bread, white, commercially prepared",Baked Products,slice,49.2,9.43,3.59,1130.0
17,"Kale, frozen, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,cup,5.3,2.94,1.21,151.0
18,"Mustard, prepared, yellow",Spices and Herbs,cup,5.3,4.25,3.38,61.0
20,"Nectarines, raw",Fruits and Fruit Juices,each,9.18,1.06,0.28,39.0
22,"Cheese, cottage, lowfat, 2% milkfat",Dairy and Egg Products,cup,4.31,11.0,2.3,352.0
